parents,designation,sku,etat_intitule,name,etat,Regula_price,photo,diameter,width,length,Poids,Epaisseur,Diameter_Largrue_Cote,Longueur,Categories,Tags,Stock,"Sold individually?","Attribute 0 name","Attribute 0 value(s)","Attribute 0 global","Attribute 1 name","Attribute 1 value(s)","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 global","Attribute 5 name","Attribute 5 value(s)","Attribute 5 global","Attribute 6 name","Attribute 6 value(s)","Attribute 6 global","Attribute 7 name","Attribute 7 value(s)","Attribute 7 global","Attribute 8 name","Attribute 8 value(s)","Attribute 8 global","Attribute 9 name","Attribute 9 value(s)","Attribute 9 global","Attribute 10 name","Attribute 10 value(s)","Attribute 10 global"
,,0,"En Attente",Test1,0,0.00,,,,,,,,,>,Indifferent,1,1,Format,Indifferent,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,0,1,Epaisseur,,1,Diameter/Largrue/Cote,,1,Longueur,,1
Cuivreux,MOLDMAX,895,"En Stock","MOLDMAX  D 114 3",1,265.50,,114,0,125,11.2,0,114,125,Cuivreux>MOLDMAX,Rond,1,1,Format,Rond,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,Q7249,1,Epaisseur,0,1,Diameter/Largrue/Cote,114,1,Longueur,125,1
Cuivreux,MOLDMAX,896,"En Stock","MOLDMAX  D 114 3",1,265.50,,114,0,125,11.2,0,114,125,Cuivreux>MOLDMAX,Rond,1,1,Format,Rond,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,Q7249,1,Epaisseur,0,1,Diameter/Largrue/Cote,114,1,Longueur,125,1
Cuivreux,MOLDMAX,897,"En Stock","MOLDMAX  D 114 3",1,265.50,,114,0,125,11.2,0,114,125,Cuivreux>MOLDMAX,Rond,1,1,Format,Rond,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,Q7249,1,Epaisseur,0,1,Diameter/Largrue/Cote,114,1,Longueur,125,1
Cuivreux,MOLDMAX,900,"En Stock","MOLDMAX  D 114 3",1,73.49,,114,0,35,3.1,0,114,35,Cuivreux>MOLDMAX,Rond,1,1,Format,Rond,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,Q7249,1,Epaisseur,0,1,Diameter/Largrue/Cote,114,1,Longueur,35,1
"Aciers Inoxydables",Z33C13,1027,"En Stock","Z33C13 TR LAM D  95",1,18.79,,95,0,305,16.8,0,95,305,"Aciers Inoxydables>Z33C13",Rond,1,1,Format,Rond,1,AFNOR,Z33C13,1,Euronorme,X30Cr13,1,NF,A35-565-90,1,AISI,420,1,DIN,X30Cr13,1,Werskstoff,1-4028,1,CCPU,Q8009,1,Epaisseur,0,1,Diameter/Largrue/Cote,95,1,Longueur,305,1
"Aciers Inoxydables",Z33C13,1052,"En Stock","Z33C13 TR LAM D  95",1,19.13,,95,0,310,17.1,0,95,310,"Aciers Inoxydables>Z33C13",Rond,1,1,Format,Rond,1,AFNOR,Z33C13,1,Euronorme,X30Cr13,1,NF,A35-565-90,1,AISI,420,1,DIN,X30Cr13,1,Werskstoff,1-4028,1,CCPU,Q8009,1,Epaisseur,0,1,Diameter/Largrue/Cote,95,1,Longueur,310,1
"Aciers de Construction et Alliés",42CD4,1281,"En Stock","42CD4 TRAITE D  65",1,2.52,,65,0,10,3,0,65,10,"Aciers de Construction et Alliés>42CD4",Rond,1,1,Format,Rond,1,AFNOR,42CD4,1,Euronorme,42CrMoS4,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,Q5044,1,Epaisseur,0,1,Diameter/Largrue/Cote,65,1,Longueur,10,1
"Aciers Outils",40CMD8TrS,1688,"En Stock","40CMD8 TR+S EP  60",1,3.85,,60,70,150,4,60,70,150,"Aciers Outils>40CMD8TrS",Plat,1,1,Format,Plat,1,AFNOR,40CMD8TrS,1,Euronorme,40CrMnMoS8,1,NF,,1,AISI,P20+S,1,DIN,40CrMnMoS8,1,Werskstoff,1-2312,1,CCPU,,1,Epaisseur,60,1,Diameter/Largrue/Cote,70,1,Longueur,150,1
"Aciers Outils",40CMD8TrS,1711,"En Stock","40CMD8 TR+S EP 120",1,10.61,,120,10,680,10.05,120,10,680,"Aciers Outils>40CMD8TrS",Plat,1,1,Format,Plat,1,AFNOR,40CMD8TrS,1,Euronorme,40CrMnMoS8,1,NF,,1,AISI,P20+S,1,DIN,40CrMnMoS8,1,Werskstoff,1-2312,1,CCPU,Q5155,1,Epaisseur,120,1,Diameter/Largrue/Cote,10,1,Longueur,680,1
Aluminium,ALCA,1719,"En Stock","ALCA + EP  30 CO",1,25.37,,30,415,200,7.15,30,415,200,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,30,1,Diameter/Largrue/Cote,415,1,Longueur,200,1
Aluminium,ALCA,1720,"En Stock","ALCA + EP  30 CO",1,15.61,,30,460,115,4.4,30,460,115,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,30,1,Diameter/Largrue/Cote,460,1,Longueur,115,1
Aluminium,ALCA,1723,"En Stock","ALCA + EP  30 CO",1,18.63,,30,460,138,5.25,30,460,138,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,30,1,Diameter/Largrue/Cote,460,1,Longueur,138,1
Aluminium,ALCA,1724,"En Stock","ALCA + EP  30 CO",1,18.81,,30,450,140,5.3,30,450,140,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,30,1,Diameter/Largrue/Cote,450,1,Longueur,140,1
Aluminium,ALCA,1725,"En Stock","ALCA + EP  30 CO",1,6.56,,30,650,35,1.85,30,650,35,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,30,1,Diameter/Largrue/Cote,650,1,Longueur,35,1
Aluminium,ALCA,1732,"En Stock","ALCA + EP  30 CO",1,18.63,,30,460,138,5.25,30,460,138,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,30,1,Diameter/Largrue/Cote,460,1,Longueur,138,1
Aluminium,ALCA,1734,"En Stock","ALCA + EP  30 CO",1,15.44,,30,460,115,4.35,30,460,115,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,30,1,Diameter/Largrue/Cote,460,1,Longueur,115,1
Aluminium,ALCA,1737,"En Stock","ALCA + EP  30 CO",1,10.47,,30,275,127,2.95,30,275,127,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,30,1,Diameter/Largrue/Cote,275,1,Longueur,127,1
Aluminium,ALCA,1738,"En Stock","ALCA + EP  30 CO",1,15.44,,30,433,120,4.35,30,433,120,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,30,1,Diameter/Largrue/Cote,433,1,Longueur,120,1
Aluminium,ALCA,1745,"En Stock","ALCA + EP  30 CO",1,8.52,,30,140,204,2.4,30,140,204,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,30,1,Diameter/Largrue/Cote,140,1,Longueur,204,1
Aluminium,ALCA,1746,"En Stock","ALCA + EP  30 CO",1,10.11,,30,267,128,2.85,30,267,128,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,30,1,Diameter/Largrue/Cote,267,1,Longueur,128,1
Aluminium,ALCA,1749,"En Stock","ALCA + EP  30 CO",1,14.02,,30,295,160,3.95,30,295,160,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,30,1,Diameter/Largrue/Cote,295,1,Longueur,160,1
Aluminium,ALCA,1751,"En Stock","ALCA + EP  30 CO",1,11.89,,30,257,157,3.35,30,257,157,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,30,1,Diameter/Largrue/Cote,257,1,Longueur,157,1
Aluminium,ALCA,1753,"En Stock","ALCA + EP  30 CO",1,23.42,,30,494,161,6.6,30,494,161,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,30,1,Diameter/Largrue/Cote,494,1,Longueur,161,1
Aluminium,ALCA,1754,"En Stock","ALCA + EP  30 CO",1,18.98,,30,407,159,5.35,30,407,159,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,30,1,Diameter/Largrue/Cote,407,1,Longueur,159,1
Aluminium,ALCA,1755,"En Stock","ALCA + EP  30 CO",1,13.84,,30,350,133,3.9,30,350,133,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,30,1,Diameter/Largrue/Cote,350,1,Longueur,133,1
Aluminium,ALCA,1767,"En Stock","ALCA + EP  40 CO",1,145.48,,40,1415,210,32.5,40,1415,210,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,40,1,Diameter/Largrue/Cote,1415,1,Longueur,210,1
Aluminium,ALCA,1768,"En Stock","ALCA + EP  40 CO",1,53.05,,40,890,120,11.85,40,890,120,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,40,1,Diameter/Largrue/Cote,890,1,Longueur,120,1
Aluminium,ALCA,1769,"En Stock","ALCA + EP  40 CO",1,30.22,,40,765,80,6.75,40,765,80,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,40,1,Diameter/Largrue/Cote,765,1,Longueur,80,1
Aluminium,ALCA,1771,"En Stock","ALCA + EP  25,4 CO",1,47.82,,25,1667,125,14.7,25,1667,125,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,25,1,Diameter/Largrue/Cote,1667,1,Longueur,125,1
Aluminium,ALCA,1773,"En Stock","ALCA + EP  40 CO",1,12.76,,40,200,125,2.85,40,200,125,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,40,1,Diameter/Largrue/Cote,200,1,Longueur,125,1
Aluminium,ALCA,1779,"En Stock","ALCA + EP  40 CO",1,24.62,,40,415,120,5.5,40,415,120,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,40,1,Diameter/Largrue/Cote,415,1,Longueur,120,1
Aluminium,ALCA,1784,"En Stock","ALCA + EP  40 CO",1,37.60,,40,480,160,8.4,40,480,160,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,40,1,Diameter/Largrue/Cote,480,1,Longueur,160,1
Aluminium,ALCA,1786,"En Stock","ALCA + EP  40 CO",1,11.41,,40,205,113,2.55,40,205,113,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,40,1,Diameter/Largrue/Cote,205,1,Longueur,113,1
Aluminium,ALCA,1788,"En Stock","ALCA + EP  40 CO",1,30.89,,40,420,149,6.9,40,420,149,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,40,1,Diameter/Largrue/Cote,420,1,Longueur,149,1
Aluminium,ALCA,1789,"En Stock","ALCA + EP  40 CO",1,17.46,,40,309,115,3.9,40,309,115,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,40,1,Diameter/Largrue/Cote,309,1,Longueur,115,1
Aluminium,ALCA,1792,"En Stock","ALCA + EP  40 CO",1,68.04,,40,143,1018,15.2,40,143,1018,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,40,1,Diameter/Largrue/Cote,143,1,Longueur,1018,1
Aluminium,ALCA,1794,"En Stock","ALCA + EP  40 CO",1,11.64,,40,205,115,2.6,40,205,115,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,40,1,Diameter/Largrue/Cote,205,1,Longueur,115,1
Aluminium,ALCA,1797,"En Stock","ALCA + EP  40 CO",1,12.09,,40,205,120,2.7,40,205,120,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,40,1,Diameter/Largrue/Cote,205,1,Longueur,120,1
Aluminium,ALCA,1799,"En Stock","ALCA + EP  40 CO",1,113.67,,40,1364,185,27.7,40,1364,185,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,40,1,Diameter/Largrue/Cote,1364,1,Longueur,185,1
Aluminium,ALCA,1801,"En Stock","ALCA + EP  25,4 CO",1,104.10,,25,3670,124,32,25,3670,124,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,25,1,Diameter/Largrue/Cote,3670,1,Longueur,124,1
"Tiges Chromées","TIGES CHROMES",1880,"En Stock","TIGES CHROMEES D  70",1,9.99,,70,0,285,8.6,0,70,285,"Tiges Chromées>TIGES CHROMES",Rond,1,1,Format,Rond,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,0,1,Diameter/Largrue/Cote,70,1,Longueur,285,1
Aluminium,ALCA,2636,"En Stock","ALCA + EP  50.8 CO",1,5.56,,51,31,320,1.45,51,31,320,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,51,1,Diameter/Largrue/Cote,31,1,Longueur,320,1
Aluminium,ALCA,2637,"En Stock","ALCA + EP  50.8 CO",1,6.14,,51,210,52,1.6,51,210,52,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,51,1,Diameter/Largrue/Cote,210,1,Longueur,52,1
Aluminium,ALCA,2640,"En Stock","ALCA + EP  50.8 CO",1,7.67,,51,105,135,2,51,105,135,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,51,1,Diameter/Largrue/Cote,105,1,Longueur,135,1
Aluminium,ALCA,2645,"En Stock","ALCA + EP  50.8 CO",1,4.99,,51,320,27,1.3,51,320,27,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,0,1,Epaisseur,51,1,Diameter/Largrue/Cote,320,1,Longueur,27,1
Aluminium,ALCA,2649,"En Stock","ALCA + EP  50.8 CO",1,4.79,,51,320,28,1.25,51,320,28,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,51,1,Diameter/Largrue/Cote,320,1,Longueur,28,1
Aluminium,ALCA,2651,"En Stock","ALCA + EP  50.8 CO",1,4.99,,51,265,35,1.3,51,265,35,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,51,1,Diameter/Largrue/Cote,265,1,Longueur,35,1
Aluminium,ALCA,2653,"En Stock","ALCA + EP  50.8 CO",1,2.49,,51,320,14,0.65,51,320,14,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,51,1,Diameter/Largrue/Cote,320,1,Longueur,14,1
Aluminium,ALCA,2655,"En Stock","ALCA + EP  50.8 CO",1,7.48,,51,270,52,1.95,51,270,52,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,51,1,Diameter/Largrue/Cote,270,1,Longueur,52,1
Aluminium,ALCA,2660,"En Stock","ALCA + EP  50.8 CO",1,69.79,,51,520,250,18.2,51,520,250,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,0,1,Epaisseur,51,1,Diameter/Largrue/Cote,520,1,Longueur,250,1
Aluminium,ALCA,2795,"En Stock","ALCA + EP  20 CO",1,19.31,,20,500,149,4.15,20,500,149,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,20,1,Diameter/Largrue/Cote,500,1,Longueur,149,1
Aluminium,ALCA,2799,"En Stock","ALCA + EP  20 CO",1,30.24,,20,643,185,6.5,20,643,185,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,0,1,Epaisseur,20,1,Diameter/Largrue/Cote,643,1,Longueur,185,1
Aluminium,ALCA,2801,"En Stock","ALCA + EP  20 CO",1,17.22,,20,500,135,3.7,20,500,135,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,20,1,Diameter/Largrue/Cote,500,1,Longueur,135,1
Aluminium,ALCA,2802,"En Stock","ALCA + EP  20 CO",1,20.24,,20,542,143,4.35,20,542,143,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,0,1,Epaisseur,20,1,Diameter/Largrue/Cote,542,1,Longueur,143,1
Aluminium,ALCA,2804,"En Stock","ALCA + EP  20 CO",1,19.31,,20,500,149,4.15,20,500,149,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,20,1,Diameter/Largrue/Cote,500,1,Longueur,149,1
Aluminium,ALCA,2805,"En Stock","ALCA + EP  20 CO",1,17.68,,20,413,166,3.8,20,413,166,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,20,1,Diameter/Largrue/Cote,413,1,Longueur,166,1
Aluminium,ALCA,2808,"En Stock","ALCA + EP  20 CO",1,50.49,,20,1065,183,10.85,20,1065,183,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,20,1,Diameter/Largrue/Cote,1065,1,Longueur,183,1
Aluminium,ALCA,2810,"En Stock","ALCA + EP  20 CO",1,61.65,,20,134,1780,13.25,20,134,1780,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,0,1,Epaisseur,20,1,Diameter/Largrue/Cote,134,1,Longueur,1780,1
Aluminium,ALCA,2817,"En Stock","ALCA + EP  20 CO",1,19.08,,20,505,147,4.1,20,505,147,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,0,1,Epaisseur,20,1,Diameter/Largrue/Cote,505,1,Longueur,147,1
Aluminium,ALCA,2819,"En Stock","ALCA + EP  20 CO",1,22.33,,20,550,157,4.8,20,550,157,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,20,1,Diameter/Largrue/Cote,550,1,Longueur,157,1
Aluminium,ALCA,2821,"En Stock","ALCA + EP  20 CO",1,47.46,,20,1000,185,10.2,20,1000,185,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,20,1,Diameter/Largrue/Cote,1000,1,Longueur,185,1
Aluminium,ALCA,2824,"En Stock","ALCA + EP  20 CO",1,29.78,,20,860,135,6.4,20,860,135,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,0,1,Epaisseur,20,1,Diameter/Largrue/Cote,860,1,Longueur,135,1
Aluminium,ALCA,2825,"En Stock","ALCA + EP  20 CO",1,25.59,,20,700,143,5.5,20,700,143,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,20,1,Diameter/Largrue/Cote,700,1,Longueur,143,1
Aluminium,ALCA,2838,"En Stock","ALCA + EP  25,4 CO",1,11.36,,25,177,256,3.2,25,177,256,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,25,1,Diameter/Largrue/Cote,177,1,Longueur,256,1
Aluminium,ALCA,2841,"En Stock","ALCA + EP  25,4 CO",1,26.09,,25,110,955,7.35,25,110,955,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,25,1,Diameter/Largrue/Cote,110,1,Longueur,955,1
Aluminium,ALCA,2850,"En Stock","ALCA + EP  25,4 CO",1,39.22,,25,227,700,11.05,25,227,700,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,25,1,Diameter/Largrue/Cote,227,1,Longueur,700,1
Aluminium,ALCA,2851,"En Stock","ALCA + EP  25,4 CO",1,34.07,,25,276,500,9.6,25,276,500,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,25,1,Diameter/Largrue/Cote,276,1,Longueur,500,1
Aluminium,ALCA,2854,"En Stock","ALCA + EP  30 CO",1,30.69,,30,70,1500,8.65,30,70,1500,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,30,1,Diameter/Largrue/Cote,70,1,Longueur,1500,1
Aluminium,ALCA,2856,"En Stock","ALCA + EP  25,4 CO",1,15.23,,25,130,430,3.9,25,130,430,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,25,1,Diameter/Largrue/Cote,130,1,Longueur,430,1
Aluminium,ALCA,2861,"En Stock","ALCA + EP  25,4 CO",1,53.59,,25,132,1635,15.1,25,132,1635,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,25,1,Diameter/Largrue/Cote,132,1,Longueur,1635,1
Aluminium,ALCA,2862,"En Stock","ALCA + EP  25,4 CO",1,39.40,,25,225,700,11.1,25,225,700,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,25,1,Diameter/Largrue/Cote,225,1,Longueur,700,1
Aluminium,ALCA,2864,"En Stock","ALCA + EP  25,4 CO",1,60.02,,25,125,2115,18.45,25,125,2115,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,25,1,Diameter/Largrue/Cote,125,1,Longueur,2115,1
Aluminium,ALCA,2866,"En Stock","ALCA + EP  25,4 CO",1,17.92,,25,177,400,5.05,25,177,400,Aluminium>ALCA,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,,1,Epaisseur,25,1,Diameter/Largrue/Cote,177,1,Longueur,400,1
