parents,designation,sku,etat_intitule,name,etat,Regula_price,photo,diameter,width,length,Poids,Epaisseur,Diameter_Largrue_Cote,Longueur,Categories,Tags,Stock,"Sold individually?","Attribute 0 name","Attribute 0 value(s)","Attribute 0 global","Attribute 1 name","Attribute 1 value(s)","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 global","Attribute 5 name","Attribute 5 value(s)","Attribute 5 global","Attribute 6 name","Attribute 6 value(s)","Attribute 6 global","Attribute 7 name","Attribute 7 value(s)","Attribute 7 global","Attribute 8 name","Attribute 8 value(s)","Attribute 8 global","Attribute 9 name","Attribute 9 value(s)","Attribute 9 global","Attribute 10 name","Attribute 10 value(s)","Attribute 10 global"
"Aciers de Construction et Alliés",XC48,62820,"En Stock","XC48 EP 100",1,0.84,,25,45,85,0.9,25,45,85,"Aciers de Construction et Alliés>XC48",Plat,1,1,Format,Plat,1,AFNOR,XC48,1,Euronorme,C45,1,NF,A35-551,1,AISI,1045,1,DIN,"Ck 45",1,Werskstoff,1-1191,1,CCPU,D3435,1,Epaisseur,25,1,Diameter/Largrue/Cote,45,1,Longueur,85,1
"Aciers Outils",40CMD8TrS,62821,"En Stock","40CMD8 TR+S EP 120 FORMAT LIBRE",1,1.51,,40,40,70,1.1,40,40,70,"Aciers Outils>40CMD8TrS",Plat,1,1,Format,Plat,1,AFNOR,40CMD8TrS,1,Euronorme,40CrMnMoS8,1,NF,,1,AISI,P20+S,1,DIN,40CrMnMoS8,1,Werskstoff,1-2312,1,CCPU,D3311,1,Epaisseur,40,1,Diameter/Largrue/Cote,40,1,Longueur,70,1
"Aciers Outils",40CMD8TrS,62842,"En Stock","40CMD8 TR+S EP 120 FORMAT LIBRE",1,0.96,,20,20,210,0.7,20,20,210,"Aciers Outils>40CMD8TrS",Plat,1,1,Format,Plat,1,AFNOR,40CMD8TrS,1,Euronorme,40CrMnMoS8,1,NF,,1,AISI,P20+S,1,DIN,40CrMnMoS8,1,Werskstoff,1-2312,1,CCPU,D3316,1,Epaisseur,20,1,Diameter/Largrue/Cote,20,1,Longueur,210,1
"Aciers Outils",40CMD8TrS,62846,"En Stock","40CMD8 TR+S EP  80 FORMAT LIBRE",1,9.38,,75,80,160,7.5,75,80,160,"Aciers Outils>40CMD8TrS",Plat,1,1,Format,Plat,1,AFNOR,40CMD8TrS,1,Euronorme,40CrMnMoS8,1,NF,,1,AISI,P20+S,1,DIN,40CrMnMoS8,1,Werskstoff,1-2312,1,CCPU,D3319,1,Epaisseur,75,1,Diameter/Largrue/Cote,80,1,Longueur,160,1
"Aciers Outils",40CMD8TrS,62852,"En Stock","40CMD8 TR+S EP 120 FORMAT LIBRE",1,3.44,,30,60,175,2.5,30,60,175,"Aciers Outils>40CMD8TrS",Plat,1,1,Format,Plat,1,AFNOR,40CMD8TrS,1,Euronorme,40CrMnMoS8,1,NF,,1,AISI,P20+S,1,DIN,40CrMnMoS8,1,Werskstoff,1-2312,1,CCPU,D3310,1,Epaisseur,30,1,Diameter/Largrue/Cote,60,1,Longueur,175,1
"Aciers Outils",Z160CDV12,62856,"En Stock","Z160CDV12 EP 102",1,19.48,,60,80,100,4.1,60,80,100,"Aciers Outils>Z160CDV12",Plat,1,1,Format,Plat,1,AFNOR,Z160CDV12,1,Euronorme,X155CrVMo12-1,1,NF,A35-590,1,AISI,P2,1,DIN,X155CrVMo12-1,1,Werskstoff,1-2379,1,CCPU,C0800,1,Epaisseur,60,1,Diameter/Largrue/Cote,80,1,Longueur,100,1
"Aciers Outils",40CMD8TrS,62862,"En Stock","40CMD8 TR+S EP 120 FORMAT LIBRE",1,1.93,,20,55,150,1.4,20,55,150,"Aciers Outils>40CMD8TrS",Plat,1,1,Format,Plat,1,AFNOR,40CMD8TrS,1,Euronorme,40CrMnMoS8,1,NF,,1,AISI,P20+S,1,DIN,40CrMnMoS8,1,Werskstoff,1-2312,1,CCPU,D3310,1,Epaisseur,20,1,Diameter/Largrue/Cote,55,1,Longueur,150,1
"Aciers Outils",40CMD8TrS,62864,"En Stock","40CMD8 TR+S EP 120 FORMAT LIBRE",1,1.79,,15,60,150,1.3,15,60,150,"Aciers Outils>40CMD8TrS",Plat,1,1,Format,Plat,1,AFNOR,40CMD8TrS,1,Euronorme,40CrMnMoS8,1,NF,,1,AISI,P20+S,1,DIN,40CrMnMoS8,1,Werskstoff,1-2312,1,CCPU,D3310,1,Epaisseur,15,1,Diameter/Largrue/Cote,60,1,Longueur,150,1
"Aciers Outils",40CMD8TrS,62892,"En Stock","P20 EP  30",1,3.30,,30,85,110,2.4,30,85,110,"Aciers Outils>40CMD8TrS",Plat,1,1,Format,Plat,1,AFNOR,40CMD8TrS,1,Euronorme,40CrMnMoS8,1,NF,,1,AISI,P20+S,1,DIN,40CrMnMoS8,1,Werskstoff,1-2312,1,CCPU,D2959,1,Epaisseur,30,1,Diameter/Largrue/Cote,85,1,Longueur,110,1
"Aciers Outils",40CMD8TrS,62902,"En Stock","40CMD8 TR+S EP  80 FORMAT LIBRE",1,15.75,,80,135,140,12.6,80,135,140,"Aciers Outils>40CMD8TrS",Plat,1,1,Format,Plat,1,AFNOR,40CMD8TrS,1,Euronorme,40CrMnMoS8,1,NF,,1,AISI,P20+S,1,DIN,40CrMnMoS8,1,Werskstoff,1-2312,1,CCPU,D4289,1,Epaisseur,80,1,Diameter/Largrue/Cote,135,1,Longueur,140,1
"Aciers Outils",40CMD8TrS,62907,"En Stock","40CMD8 TR+S EP  80 FORMAT LIBRE",1,5.25,,35,80,165,4.2,35,80,165,"Aciers Outils>40CMD8TrS",Plat,1,1,Format,Plat,1,AFNOR,40CMD8TrS,1,Euronorme,40CrMnMoS8,1,NF,,1,AISI,P20+S,1,DIN,40CrMnMoS8,1,Werskstoff,1-2312,1,CCPU,D4289,1,Epaisseur,35,1,Diameter/Largrue/Cote,80,1,Longueur,165,1
"Aciers Inoxydables",Z16Cn1702,62915,"En Stock","1.4057 (431) PLAQUE FORMAT LIBRE",1,2.12,,20,60,70,0.7,20,60,70,"Aciers Inoxydables>Z16Cn1702",Plat,1,1,Format,Plat,1,AFNOR,Z16Cn1702,1,Euronorme,X20CrNi172,1,NF,,1,AISI,431,1,DIN,,1,Werskstoff,140574,1,CCPU,,1,Epaisseur,20,1,Diameter/Largrue/Cote,60,1,Longueur,70,1
"Aciers Outils",40CMD8TrS,62925,"En Stock","P20 EP  30",1,0.83,,15,30,145,0.6,15,30,145,"Aciers Outils>40CMD8TrS",Plat,1,1,Format,Plat,1,AFNOR,40CMD8TrS,1,Euronorme,40CrMnMoS8,1,NF,,1,AISI,P20+S,1,DIN,40CrMnMoS8,1,Werskstoff,1-2312,1,CCPU,D2959,1,Epaisseur,15,1,Diameter/Largrue/Cote,30,1,Longueur,145,1
"Aciers Outils",40CMD8TrS,62938,"En Stock","40CMD8 TR+S EP 120 FORMAT LIBRE",1,2.75,,25,25,400,2,25,25,400,"Aciers Outils>40CMD8TrS",Plat,1,1,Format,Plat,1,AFNOR,40CMD8TrS,1,Euronorme,40CrMnMoS8,1,NF,,1,AISI,P20+S,1,DIN,40CrMnMoS8,1,Werskstoff,1-2312,1,CCPU,D3310,1,Epaisseur,25,1,Diameter/Largrue/Cote,25,1,Longueur,400,1
"Aciers Outils",40CMD8TrS,62940,"En Stock","40CMD8 TR+S EP 120 FORMAT LIBRE",1,0.96,,15,25,210,0.7,15,25,210,"Aciers Outils>40CMD8TrS",Plat,1,1,Format,Plat,1,AFNOR,40CMD8TrS,1,Euronorme,40CrMnMoS8,1,NF,,1,AISI,P20+S,1,DIN,40CrMnMoS8,1,Werskstoff,1-2312,1,CCPU,D3310,1,Epaisseur,15,1,Diameter/Largrue/Cote,25,1,Longueur,210,1
"Aciers de Construction et Alliés",XC48,62943,"En Stock","XC48 PLAQUE EP  35 FORMAT LIBRE",1,1.35,,35,0,240,1.8,35,0,240,"Aciers de Construction et Alliés>XC48",Plat,1,1,Format,Plat,1,AFNOR,XC48,1,Euronorme,C45,1,NF,A35-551,1,AISI,1045,1,DIN,"Ck 45",1,Werskstoff,1-1191,1,CCPU,Q10942,1,Epaisseur,35,1,Diameter/Largrue/Cote,0,1,Longueur,240,1
"Aciers Inoxydables",Z16Cn1702,62944,"En Stock","431  D 140  LAMINE",1,3.61,,140,0,8,1,0,140,8,"Aciers Inoxydables>Z16Cn1702",Rond,1,1,Format,Rond,1,AFNOR,Z16Cn1702,1,Euronorme,X20CrNi172,1,NF,,1,AISI,431,1,DIN,,1,Werskstoff,140574,1,CCPU,,1,Epaisseur,0,1,Diameter/Largrue/Cote,140,1,Longueur,8,1
"Aciers Outils","TOOLOX 33",63239,"En Stock","TOOLOX 33  EP 130",1,21.89,,50,130,195,10.3,50,130,195,"Aciers Outils>TOOLOX 33",Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,Q10447,1,Epaisseur,50,1,Diameter/Largrue/Cote,130,1,Longueur,195,1
"Aciers Outils",40CMD8TrS,63256,"En Stock","40CMD8 TR+S EP  50 FORMAT LIBRE",1,8.63,,50,110,155,6.9,50,110,155,"Aciers Outils>40CMD8TrS",Plat,1,1,Format,Plat,1,AFNOR,40CMD8TrS,1,Euronorme,40CrMnMoS8,1,NF,,1,AISI,P20+S,1,DIN,40CrMnMoS8,1,Werskstoff,1-2312,1,CCPU,D4292,1,Epaisseur,50,1,Diameter/Largrue/Cote,110,1,Longueur,155,1
"Aciers Outils",Z160CDV12,63275,"En Stock","Z160CDV12 EP  33",1,4.75,,33,50,70,1,33,50,70,"Aciers Outils>Z160CDV12",Plat,1,1,Format,Plat,1,AFNOR,Z160CDV12,1,Euronorme,X155CrVMo12-1,1,NF,A35-590,1,AISI,P2,1,DIN,X155CrVMo12-1,1,Werskstoff,1-2379,1,CCPU,C0802,1,Epaisseur,33,1,Diameter/Largrue/Cote,50,1,Longueur,70,1
"Aciers Outils",40CMD8TrS,63289,"En Stock","40CMD8 TR+S EP  16 FORMAT LIBRE",1,1.93,,16,50,110,0.8,16,50,110,"Aciers Outils>40CMD8TrS",Plat,1,1,Format,Plat,1,AFNOR,40CMD8TrS,1,Euronorme,40CrMnMoS8,1,NF,,1,AISI,P20+S,1,DIN,40CrMnMoS8,1,Werskstoff,1-2312,1,CCPU,D3308,1,Epaisseur,16,1,Diameter/Largrue/Cote,50,1,Longueur,110,1
